IDDIST,zone
150119,South Lima
150102,North Lima
150131,High income Lima
150120,High income Lima
150130,High income Lima
150116,High income Lima
150140,High income Lima
150121,High income Lima
070105,Port
150139,North Lima
150106,North Lima
150113,High income Lima
150124,South beach
150138,South beach
150108,High income Lima
150104,High income Lima
150143,South Lima
150133,South Lima
150122,High income Lima
150141,High income Lima
150127,South beach
070104,Port
150134,High income Lima
150136,High income Lima
150142,South Lima
150126,South beach
150129,South beach
150123,South Lima
150115,Old town
150114,High income Lima
070102,Port
150105,Old town
150137,East Lima
150109,East Lima
070103,Port
150101,Old town
150111,Old town
150128,Old town
150103,East Lima
150107,East Lima
150112,North Lima
070101,Port
150135,North Lima
150117,North Lima
150110,North Lima
150118,East Lima
150132,San Juan de Lurigancho
070106,Port
150125,North Lima
070107,Port
